Brand,Product,Price,Rating,Total_ratings,Total_reviews,Fit,Pattern
GESPO,Men Regular Fit Solid Casual Shirt,329,3.9,"78,410","8,304",Regular,Solid
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,289,4.1,"10,783","1,010",Regular,Printed
PETER ENGLAND,Men Regular Fit Solid Casual Shirt,539,4.2,37,2,Regular,Solid
Surhi,Men Regular Fit Checkered Spread Collar Casual Shirt,329,3.7,"31,977","1,891",Regular,Checkered
Tanip,Men Regular Fit Checkered Spread Collar Casual Shirt,329,3.9,"9,933",633,Regular,Checkered
Qlonz store,Men Regular Fit Solid Mandarin Collar Casual Shirt,329,3.9,"62,988","4,489",Regular,Solid
BASE 41,Men Slim Fit Checkered Spread Collar Casual Shirt,346,4,"17,462","2,002",Slim,Checkered
Plus91,Men Regular Fit Solid Spread Collar Casual Shirt,429,3.7,"2,043",96,Regular,Solid
HIGHLANDER,Men Slim Fit Printed Casual Shirt,419,4.1,"2,297",152,Slim,Printed
Blue dove,Men Regular Fit Printed Button Down Collar Casual Shirt,307,3.9,"7,564",592,Regular,Printed
VTEXX,Men Regular Fit Solid Spread Collar Formal Shirt,329,4.1,"3,757",276,Regular,Solid
VTEXX,Men Regular Fit Solid Spread Collar Casual Shirt,329,4,"83,731","7,005",Regular,Solid
United Colors of Benetton,Men Regular Fit Printed Casual Shirt,599,4.1,175,10,Regular,Printed
WOXEN,Men Slim Fit Solid Spread Collar Casual Shirt,429,3.8,"2,016",165,Slim,Solid
VTEXX,Men Regular Fit Solid Spread Collar Casual Shirt,329,4,"83,731","7,005",Regular,Solid
EVIQE,"Men Regular, Slim Fit Solid Spread Collar Casual Shirt",349,3.8,"7,164",427,"Regular,",Fit
Majestic Man,Men Slim Fit Checkered Spread Collar Casual Shirt,469,4.1,"3,416",269,Slim,Checkered
VeBNoR,Men Regular Fit Solid Spread Collar Casual Shirt,379,4,"1,25,357","12,845",Regular,Solid
ZARTHA,Men Regular Fit Printed Spread Collar Casual Shirt,412,4.1,"3,125",362,Regular,Printed
LEWEL,Men Slim Fit Checkered Casual Shirt,472,3.8,"23,038","1,389",Slim,Checkered
Peter England University,Men Super Slim Fit Solid Casual Shirt,519,4.1,204,15,Super,Fit
Peter England University,Men Super Slim Fit Striped Casual Shirt,714,4,302,20,Super,Fit
Majestic Man,Men Slim Fit Checkered Spread Collar Casual Shirt,469,4.1,"3,416",269,Slim,Checkered
HIGHLANDER,Men Slim Fit Printed Cut Away Collar Casual Shirt,629,3.4,14,2,Slim,Printed
FUBAR,Men Slim Fit Striped Spread Collar Casual Shirt,329,3.9,"1,792",150,Slim,Striped
icome,Men Regular Fit Printed Ribbed Collar Casual Shirt,329,4,"4,105",217,Regular,Printed
Majestic Man,Men Slim Fit Checkered Spread Collar Casual Shirt,469,4,"2,202",175,Slim,Checkered
PETER ENGLAND,Men Regular Fit Solid Casual Shirt,539,4.2,37,2,Regular,Solid
WOXEN,Men Slim Fit Solid Spread Collar Casual Shirt,429,3.8,"2,016",165,Slim,Solid
GESPO,Men Regular Fit Solid Mandarin Collar Casual Shirt,329,3.9,"78,410","8,304",Regular,Solid
Majestic Man,Men Slim Fit Checkered Spread Collar Casual Shirt,469,4.1,"3,416",269,Slim,Checkered
Surhi,Men Slim Fit Checkered Casual Shirt,329,3.7,"2,10,697","21,110",Slim,Checkered
EVIQE,"Men Regular, Slim Fit Solid Spread Collar Casual Shirt",349,3.8,"7,164",427,"Regular,",Fit
WOXEN,Men Slim Fit Solid Spread Collar Casual Shirt,429,3.8,"2,016",165,Slim,Solid
HIGHLANDER,Men Slim Fit Checkered Cut Away Collar Casual Shirt,436,3.9,270,18,Slim,Checkered
EVIQE,"Men Regular, Slim Fit Solid Spread Collar Casual Shirt",331,3.8,"7,164",427,"Regular,",Fit
BOSQUE,Men Regular Fit Printed Spread Collar Casual Shirt,449,4.1,"2,016",125,Regular,Printed
VeBNoR,Men Regular Fit Solid Spread Collar Casual Shirt,379,4,"1,25,357","12,845",Regular,Solid
PETER ENGLAND,Men Regular Fit Solid Casual Shirt,539,4.3,106,4,Regular,Solid
EVIQE,Men Regular Fit Solid Mandarin Collar Casual Shirt,349,3.9,"6,730",559,Regular,Solid
Tanip,Men Slim Fit Checkered Spread Collar Casual Shirt,289,3.8,"12,862","1,082",Slim,Checkered
Majestic Man,Men Slim Fit Printed Casual Shirt,469,4.1,"7,815",665,Slim,Printed
EVIQE,"Men Regular, Slim Fit Solid Spread Collar Casual Shirt",349,3.8,"7,164",427,"Regular,",Fit
Peter England University,Men Super Slim Fit Self Design Casual Shirt,659,4.1,305,23,Super,Fit
METRONAUT By Flipkart,Men Regular Fit Self Design Casual Shirt,515,4,612,64,Regular,Self
Plus91,Men Regular Fit Solid Spread Collar Casual Shirt,429,3.7,"2,043",96,Regular,Solid
Peter England University,Men Super Slim Fit Checkered Casual Shirt,649,4.1,291,20,Super,Fit
PROVOGUE,Men Regular Fit Checkered Spread Collar Casual Shirt,399,4.3,113,7,Regular,Checkered
Plus91,Men Slim Fit Animal Print Spread Collar Casual Shirt,379,3.5,"1,059",69,Slim,Animal
Try This,Men Slim Fit Color Block Casual Shirt,299,3.8,"12,979","1,027",Slim,Color
PETER ENGLAND,Men Regular Fit Solid Casual Shirt,659,4.6,5,0,Regular,Solid
BASE 41,Men Slim Fit Checkered Spread Collar Casual Shirt,320,3.8,"9,282",932,Slim,Checkered
Dennis Lingo,Men Slim Fit Checkered Slim Collar Casual Shirt,699,4.1,"14,907","1,347",Slim,Checkered
COMBRAIDED,Men Regular Fit Striped Spread Collar Casual Shirt,329,3.9,"2,616",153,Regular,Striped
Roadster,Men Regular Fit Printed Spread Collar Casual Shirt,575,4.3,190,18,Regular,Printed
Tanip,Men Slim Fit Checkered Spread Collar Casual Shirt,329,3.8,"56,220","4,852",Slim,Checkered
HIGHLANDER,Men Slim Fit Solid Spread Collar Casual Shirt,501,4.1,"13,623","1,209",Slim,Solid
TRIPR,Men Regular Fit Solid Casual Shirt,359,3.8,"7,783",690,Regular,Solid
HIGHLANDER,Men Slim Fit Printed Cut Away Collar Casual Shirt,629,3.4,14,2,Slim,Printed
Pepzo,Men Regular Fit Solid Spread Collar Casual Shirt,309,3.9,"1,71,374","14,214",Regular,Solid
Tanip,Men Slim Fit Printed Spread Collar Casual Shirt,309,3.9,"7,598",687,Slim,Printed
METRONAUT By Flipkart,Men Regular Fit Self Design Casual Shirt,515,4,612,64,Regular,Self
COMBRAIDED,Men Slim Fit Checkered Slim Collar Casual Shirt,329,3.7,"14,944",947,Slim,Checkered
EVIQE,"Men Regular, Slim Fit Solid Spread Collar Casual Shirt",331,3.8,"7,164",427,"Regular,",Fit
Nat Jastica,Men Regular Fit Printed Cut Away Collar Casual Shirt,383,4.2,11,2,Regular,Printed
BOSQUE,Men Regular Fit Printed Spread Collar Casual Shirt,449,4.1,"2,016",125,Regular,Printed
HIGHLANDER,Men Slim Fit Striped Cut Away Collar Casual Shirt,576,4,251,18,Slim,Striped
TRIPR,Men Regular Fit Printed Spread Collar Casual Shirt,349,3.7,"11,525",683,Regular,Printed
Tanip,Men Slim Fit Checkered Spread Collar Casual Shirt,289,3.8,"12,862","1,082",Slim,Checkered
HIGHLANDER,Men Slim Fit Solid Cut Away Collar Casual Shirt,439,3.8,323,36,Slim,Solid
VeBNoR,Men Regular Fit Solid Spread Collar Casual Shirt,379,4,"1,25,357","12,845",Regular,Solid
EVIQE,"Men Regular, Slim Fit Solid Spread Collar Casual Shirt",349,3.8,"7,164",427,"Regular,",Fit
EVIQE,Men Regular Fit Solid Mandarin Collar Casual Shirt,349,3.9,"6,730",559,Regular,Solid
HIGHLANDER,Men Slim Fit Checkered Cut Away Collar Casual Shirt,436,3.9,270,18,Slim,Checkered
FUBAR,Men Slim Fit Striped Mandarin Collar Casual Shirt,419,3.9,"57,714","5,183",Slim,Striped
VERTICALS,Men Regular Fit Solid Spread Collar Casual Shirt,499,3.9,12,2,Regular,Solid
WOXEN,Men Slim Fit Solid Spread Collar Casual Shirt,429,3.8,"2,016",165,Slim,Solid
PROVOGUE,Men Regular Fit Checkered Casual Shirt,399,3.9,133,12,Regular,Checkered
ASIAN & FITCH,Men Slim Fit Checkered Casual Shirt,436,4,"10,751",744,Slim,Checkered
Dennis Lingo,Men Slim Fit Solid Mandarin Collar Casual Shirt,649,4.1,"1,65,137","19,141",Slim,Solid
Majestic Man,Men Slim Fit Checkered Spread Collar Casual Shirt,469,4,"2,202",175,Slim,Checkered
Shivark,Men Regular Fit Solid Mandarin Collar Casual Shirt,384,4,349,12,Regular,Solid
